extraction_date;url;title;subtitle;location;publish_date;publish_hour;last_update_date;last_update_hour;tag;num_tags
2019-11-08 20:04:33.657451;https://www.ccma.cat/324/el-regne-unit-accepta-ara-tramitar-leuroordre-contra-ponsati-dictada-per-llarena/noticia/2962016/;El Regne Unit accepta ara tramitar l'euroordre contra Ponsatí dictada per Llarena;Les autoritats britàniques han acceptat l'euroordre després que el jutge Llarena hagi enviat l'ampliació de la informació sol·licitada;;08/11/2019;19.11;08/11/2019;19.33;Pablo Llarena;1
2019-11-08 20:04:34.191996;https://www.ccma.cat/324/moncloa-torna-a-portar-al-tc-la-mesa-per-la-clara-intencio-de-continuar-el-proces/noticia/2961939/;La Moncloa torna a portar al TC la mesa per la "clara intenció" de "continuar" el procés;Celaá assegura que les dues mocions del Parlament "tornen a incidir en la voluntat d'exercir de forma completa el dret d'autodeterminació", declarat "nul i inconstitucional" pel Constitucional;Madrid;08/11/2019;14.14;08/11/2019;15.13;Procés català;1
2019-11-08 20:04:34.549695;https://www.ccma.cat/324/saltar-se-les-normes-per-evitar-cues-graven-les-infraccions-en-un-punt-negre-viari/noticia/2961979/;Saltar-se les normes per evitar cues: graven les infraccions en un punt negre viari;Les infraccions que es fan a la variant de la N-340 entre Móra i Torredembarra, sobretot els caps de setmana, ja han provocat accidents mortals;Torredembarra;08/11/2019;16.35;08/11/2019;18.28;Trànsit;1
2019-11-08 20:04:37.178748;https://www.ccma.cat/324/la-campanya-mes-curta-arriba-al-seu-final-marcada-pels-recursos-judicials/noticia/2961986/;La campanya més curta arriba al seu final marcada pels recursos judicials;;;08/11/2019;18.10;08/11/2019;19.07;Eleccions generals 2019-10N;1
2019-11-08 20:04:39.264730;https://www.ccma.cat/324/la-junta-electoral-rebutja-la-peticio-derc-de-restituir-junqueras-com-a-candidat-el-10n/noticia/2961910/;La Junta Electoral rebutja la petició d'ERC de restituir Junqueras com a candidat el 10N;Argumenta que la llei impedeix que siguin elegibles les persones amb sentència ferma que comporti penes de presó;;08/11/2019;15.18;08/11/2019;16.37;Eleccions generals 2019-10N;1
2019-11-08 20:04:44.585501;https://www.ccma.cat/324/el-suprem-ordena-la-junta-electoral-que-permeti-votar-els-policies-desplacats-a-catalunya/noticia/2961965/;El Suprem ordena a la Junta Electoral que permeti votar als policies desplaçats a Catalunya;;;08/11/2019;15.23;08/11/2019;17.05;Eleccions generals 2019-10N;1
2019-11-08 20:04:45.047058;https://www.ccma.cat/324/gabriel-rufian-a-sanchez-no-el-podem-votar-es-un-senyor-mes-de-la-dreta/noticia/2961840/;Gabriel Rufián (ERC): "A aquest Sánchez no el podem votar. És un senyor més de la dreta";El cap de llista d'ERC diu que Sánchez "no té principis" i que "l'única alternativa és derrotar-lo inequívocament a Catalunya" per poder obrir una taula de diàleg;Joan Josep Nuet, a "Els matins";08/11/2019;10.23;08/11/2019;14.54;Eleccions generals 2019-10N;1
2019-11-08 20:04:47.144373;https://www.ccma.cat/324/la-junta-electoral-permet-ara-la-trobada-gegantera-a-sant-joan-de-vilatorrada-el-10n/noticia/2961974/;La Junta Electoral permet ara la trobada gegantera a Sant Joan de Vilatorrada el 10N;;;08/11/2019;16.19;08/11/2019;16.47;Eleccions generals 2019-10N;1
2019-11-08 20:04:48.208223;https://www.ccma.cat/324/acusen-el-112-a-madrid-per-un-noi-mort-per-asfixia-no-sento-que-tofeguis/noticia/2961836/;Acusen el 112 de negligència per un noi mort d'asfíxia a Madrid: "No sento que t'ofeguis";Els pares denuncien el 112 per negligència i "falta d'humanitat" després que el seu fill de 23 anys morís d'un tromboembolisme pulmonar;Madrid;08/11/2019;11.14;08/11/2019;14.38;Salut;1
2019-11-08 20:04:48.656245;https://www.ccma.cat/324/sestudia-avaluar-lempatia-i-la-sensibilitat-dels-futurs-metges-amb-una-prova/noticia/2961900/;S'estudia avaluar l'empatia i la sensibilitat dels futurs metges amb una prova;Les universitats estudien fer una prova complementària a la selectivitat per identificar prèviament els estudiants amb les aptituds necessàries per ser un bon metge o metgessa;;08/11/2019;13.54;08/11/2019;18.33;Salut;1
